"","adrenal.gland","colon","esophagus","kidney","liver","lung","ovary","pancreas","prostate","testis","spleen","stomach","heart"
"ENSG00000161057",6.87727324382231,6.86253338979236,6.61392805377308,6.79010940861055,6.79621332725167,7.0094080609609,6.94527370058563,6.71914398925452,6.89559254514821,7.06842424726869,7.05929813691837,6.77593557689219,7.54154708814251
"ENSG00000051596",NA,5.77503154523624,5.98190210381592,NA,NA,NA,5.85837434558911,NA,NA,5.50047692826675,NA,5.56321262562093,NA
"ENSG00000182511",5.08820698813453,NA,4.57381059394783,NA,5.34031236890618,5.21536897942214,4.49939398666971,NA,NA,NA,6.90166757429809,5.1095010114437,NA
"ENSG00000100796",5.9718693500015,NA,5.73828124047937,NA,NA,5.21921856978159,6.18991956107911,NA,5.4587629493003,6.14991021407814,NA,6.04335974291425,NA
"ENSG00000143376",6.28018303541246,6.66083179952802,6.06632567041838,6.37684356758791,6.18685627977923,6.23202496513654,5.92679974702391,5.87617079613635,6.36269916813916,5.76214463373659,5.77939255357761,6.51390802660778,NA
"ENSG00000172172",6.15576101287792,6.06858817497607,5.94659583677076,6.57930554304022,NA,5.74979593724151,5.64926664488579,NA,NA,5.73644481520954,NA,NA,5.81934999494934
"ENSG00000172020",NA,6.25483838175633,NA,NA,NA,NA,NA,5.3652431793782,6.0324800628919,NA,NA,NA,NA
"ENSG00000005884",6.07529608316065,6.67781994758447,5.99419452851815,6.18718410858168,6.69950942666339,7.36454530151913,5.9207987335888,5.86352853744253,6.86575189611733,6.61060991381885,5.22469638997919,6.28651407292957,NA
"ENSG00000128595",7.3436279944614,6.59001036602838,8.21963823034087,7.22561556665548,6.71786198768424,6.87018856628483,7.13726690603785,6.94278752351596,7.61277810400714,7.71753242550246,5.99809517183649,7.29834994247911,6.85307876099748
"ENSG00000175220",7.55048267552745,7.47810110252862,7.77599101546662,7.18896150897174,7.70947360292293,7.2465638306538,7.38585727350335,7.44448689720398,8.1419812799037,7.7932555702806,8.0835526609063,7.89584229768871,7.72761438044616
"ENSG00000034510",NA,7.79037341241989,7.78193185020771,6.09247733466742,7.89252005924422,6.49895363267347,8.51423057340462,8.01350418598252,6.69274118633566,8.08768677566467,8.49860224547449,NA,NA
"ENSG00000187608",5.85253488694195,6.03238645247434,5.96821087110398,6.25541399306637,7.01118589770081,5.65743769347682,6.2601077019174,6.57350664920947,6.13501956963936,6.32510599776021,7.04190550276768,6.44169684019751,NA
"ENSG00000174684",5.91769452042799,NA,NA,NA,NA,NA,NA,NA,4.8701339739145,5.50219696296262,NA,NA,NA
"ENSG00000131652",5.22631629693934,5.27147983008126,NA,5.93738517821231,6.29084913190349,6.0907305762472,5.96077017165996,6.18893501231383,5.1954839769466,5.85634289623292,6.3929592733194,5.3208037044064,NA
"ENSG00000119314",NA,5.88876989882137,6.27666665662627,6.18580193789557,4.87477140150578,5.89731447664327,5.80851358543628,6.20829867598408,NA,5.90444903454444,6.02066710961001,6.20931504570756,NA
"ENSG00000100568",6.0002471127438,6.48272204636203,6.17539526279039,5.94639889748239,6.18419645778721,6.56381140400765,5.91865624310432,NA,5.92269448653783,5.64578123269451,5.87605624146229,NA,6.8734356243047
"ENSG00000008283",6.58110379511817,NA,5.54768269212581,NA,6.65674125260922,NA,NA,NA,5.67726207754001,NA,NA,5.53822930203365,NA
"ENSG00000108468",6.04587306941374,6.63010699801587,5.52282386221251,6.64903759618082,6.3270965233352,NA,7.24250714592954,6.63580338888709,6.62878180285595,6.67830662646432,6.99157039912345,6.1073987008136,NA
"ENSG00000158109",6.44904620390385,NA,5.67780469349048,NA,NA,NA,NA,NA,5.04529491184692,5.65932632262837,NA,NA,5.9302828607283
"ENSG00000136044",6.05527058712228,6.01460089245128,NA,5.20853628026903,NA,NA,6.38091210870338,6.04205359239664,5.63024670867693,5.92219981548102,5.89182348997579,6.24206917503896,NA
"ENSG00000113163",6.182776029402,5.53755778037459,6.23568180938513,5.60946938448979,6.20927218635996,5.67582352186474,5.58598276015219,5.67386018128031,6.04766323892378,5.58893889175577,5.50055441893704,6.01091698268374,NA
"ENSG00000179776",NA,6.01393440604403,6.2910835314254,NA,5.57638803963695,6.4491582409381,5.49272209567049,5.21480003017891,4.69800562579595,5.60908816695078,NA,NA,6.16470473642756
"ENSG00000125266",NA,5.86419203335247,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.46112701870136,NA
"ENSG00000196220",NA,NA,NA,NA,NA,NA,4.46291745425465,NA,NA,5.97779347280721,NA,NA,NA
"ENSG00000131238",7.75156839205595,7.11049674052055,6.49694603292692,7.07396355603072,6.94370678243952,7.22622809869466,6.93545893546213,6.956480182986,7.21735078748389,7.25245232671739,7.12619002300971,6.97543495899127,7.47408157515868
"ENSG00000155792",6.51393787202927,5.88012012770961,5.02027864855661,5.69473574330983,NA,5.26232379565597,6.34998677147631,6.17718401122415,5.90532781713319,5.88138582478507,5.72287847328067,4.94077120450995,NA
"ENSG00000178567",6.16996151276227,5.40556395473834,NA,6.092587584064,5.60211808659952,5.73311919528968,5.85657048140544,6.3809763951781,6.28375003931579,6.32149285159415,NA,4.42149283442551,6.36197557923601
"ENSG00000101146",6.09219759032633,6.17935927564924,6.02484691295135,NA,5.69743132133486,NA,6.51953916423605,5.67170485625191,5.77235225103812,6.8481141974338,6.54826290195777,6.28059552970641,NA
"ENSG00000160285",7.33331624130469,5.97374857569007,6.33731652494242,5.9318305924202,7.2113588214823,6.81614585716615,6.4116129638079,6.96920467940767,6.83778458286989,7.03503205134493,6.1955474445059,6.83209955501273,6.68742651536171
"ENSG00000100577",7.41552561314506,6.20913503954267,7.4740368975997,7.46743494516979,7.5024884625583,6.22125296384842,7.06334112488241,6.62327501116866,6.94153200591553,6.88624673090455,6.8534881405083,6.743608245869,NA
"ENSG00000136026",7.23424156386413,7.35457254807152,7.39920623887688,6.47685587070899,7.40335008339344,7.67487474995202,7.18403513266543,7.72011090015827,7.34503188570181,7.80852246651793,5.85285356408238,7.46811380147471,8.30198613778905
"ENSG00000078114",NA,NA,5.81839248157019,7.35196126926255,6.27482543797876,7.14071440136227,NA,NA,8.10027881902292,NA,NA,4.83168623389527,8.83548184155997
"ENSG00000167553",NA,NA,6.41224889850439,6.63177770098031,NA,NA,6.23241073868081,NA,6.35476850385346,6.42054850730204,NA,NA,NA
"ENSG00000116062",4.76288099965502,5.22550959916079,5.56218998142369,4.77352270276382,5.65536139344696,NA,6.21869147261357,5.15460980121551,4.83808723527247,6.25569000638018,4.12164397153393,4.45605774102479,NA
"ENSG00000170632",6.255108809986,5.69117934591589,6.59432173715093,6.6503488488652,6.60822388553393,6.52268062232558,6.69793809084453,5.91281982659934,6.46132504719915,6.47601566039198,NA,5.81916009644417,5.87266769525449
"ENSG00000197943",5.47997832887651,5.70268382090394,5.88179864669613,5.64321944259389,6.15147750686948,4.92455261203961,4.8006690297984,6.21855211861127,5.5824897810467,NA,6.73843957747984,6.62211724661673,NA
"ENSG00000154222",4.99669846514322,5.03246433384096,5.07179040574403,NA,5.16040675419591,4.96702108462792,5.19909475088669,NA,4.89848839260288,5.73907695844509,NA,4.47999912439617,NA
"ENSG00000213341",5.54303136121896,4.99126642289058,5.17285628625021,NA,5.31240585146007,NA,NA,NA,NA,6.14671299338779,4.99177451365552,5.43853613622443,NA
"ENSG00000047315",5.81656764948972,5.64483236758494,5.41339759261551,5.92497906381345,5.94047181561314,5.59830433911321,6.11283050335868,5.40694677417385,5.13762782837346,6.4794652625227,5.84545706289684,5.59207793801101,NA
"ENSG00000171824",4.46831778556491,5.0922447863296,NA,NA,4.82003615168314,NA,5.29303298764741,NA,NA,5.2629471126318,NA,5.5039314939394,NA
"ENSG00000115159",6.64552096264299,6.67077215398852,6.93854943386058,6.31245198562385,5.74524668418989,6.82224963648526,6.40237594572815,6.96288264606337,6.97576892158645,6.92604830033766,7.10378908449655,7.22429747451298,7.25522453300024
"ENSG00000044115",6.99369161789908,7.63245223069804,6.9210436636199,6.59042026388776,7.27604785438672,7.64134293462865,6.94034181083986,7.55802033341942,7.26515450115831,7.15827234736052,7.14146200313207,7.74025377833266,7.7211650183913
"ENSG00000100196",NA,NA,NA,NA,5.82137917524224,6.11953689752263,NA,NA,NA,5.05291837450707,NA,5.78795566283143,NA
"ENSG00000114480",7.50696027034053,6.5699137266173,7.02058046721654,7.13424278043719,7.5244491689222,6.59401738612339,6.95118410913366,7.26126909614148,7.13962191840015,7.09481421339359,6.90340184737125,7.13203179559702,8.16929437575223
"ENSG00000143457",6.03514945777346,5.90233627869501,5.85960280134007,5.82442240089699,6.24233377059529,NA,5.88212382917422,6.24296508690544,NA,5.95714125117626,NA,6.62561622533089,NA
"ENSG00000132612",6.55090437677342,6.37075327663423,6.56386254128833,6.56993535346517,5.88280189946894,5.89314300332111,6.46884196874503,NA,6.31770109870983,6.18999944735957,5.37834328363947,6.15160236330565,6.48403500486517
"ENSG00000125633",6.30256725950167,5.97514203976237,5.71206061389559,6.18688960282099,5.58774815431184,6.25230316354765,6.03277248526148,6.56943496164899,5.4718859125311,6.27781260896519,6.30446209470837,6.11392453532912,NA
"ENSG00000198899",7.43052790512252,NA,8.12544939893243,8.18137071280186,8.20470056957209,7.64786537895621,7.07500770792381,7.60301182864261,7.59024822256253,7.28218309740307,6.91408447187594,7.36151762590801,8.76447525597688
"ENSG00000184730",NA,5.91877510193437,NA,NA,4.76829311856173,NA,NA,5.01238802244948,NA,NA,5.35027322063316,NA,NA
